Fa4_1211	Fa4_2211
Fa1_3313	Fa1_3213
Fa2_2321	Fa2_2321
Fa3_3112	Fa3_3112
Fa1_2121	Fa1_2121
Fa1_2211	Fa1_3211
Fa1_3333	Fa1_3332
Fa3_3221	Fa3_3221
Fa2_1312	Fa2_1312
Fa3_2211	Fa3_2211
Fa4_1112	Fa4_1112
Fa3_1131	Fa3_1121
Fa1_1323	Fa1_1333
Fa3_1123	Fa3_1133
Fa1_3312	Fa1_2312
Fa1_1223	Fa1_1222
Fa3_2223	Fa3_2222
Fa1_1112	Fa1_1112
Fa1_2313	Fa1_2313
Fa4_1213	Fa4_1213
Fa1_1233	Fa1_1233
Fa2_2221	Fa2_2221
Fa3_2331	Fa3_2321
Fa1_3221	Fa1_2221
Fa1_1211	Fa1_1311
Fa3_2111	Fa3_2111
Fa4_3232	Fa4_2232
Fa4_3112	Fa4_2112
Fa1_2231	Fa1_3231
Fa4_1212	Fa4_2212
Fa2_1212	Fa2_1212
Fa4_1222	Fa4_1222
Fa4_1311	Fa4_1311
Fa3_3331	Fa3_3331
Fa4_3331	Fa4_2331
Fa1_3232	Fa1_2232
Fa2_1332	Fa2_1332
Fa4_1333	Fa4_1333
Fa1_1332	Fa1_1332
Fa3_3312	Fa3_3212
