Fb1_1231	Fb1_2231
Fb2_3112	Fb2_3112
Fb2_3131	Fb2_3132
Fb3_1122	Fb3_1122
Fb4_2331	Fb4_2331
Fb4_3132	Fb4_3132
Fb1_3123	Fb1_3223
Fb2_3211	Fb2_3221
Fb4_2231	Fb4_2232
Fb4_1132	Fb4_1132
Fb4_3333	Fb4_3323
Fb1_3333	Fb1_2333
Fb4_3313	Fb4_3312
Fb2_2322	Fb2_2322
Fb1_2113	Fb1_3113
Fb3_3323	Fb3_3323
Fb1_3232	Fb1_3232
Fb1_1312	Fb1_1312
Fb2_1132	Fb2_1132
Fb1_2122	Fb1_2122
Fb4_1121	Fb4_1121
Fb4_2213	Fb4_2213
Fb4_2321	Fb4_3321
Fb3_1311	Fb3_1312
Fb1_2123	Fb1_2123
Fb2_1112	Fb2_1122
Fb2_1321	Fb2_1321
Fb2_2232	Fb2_2232
Fb3_2123	Fb3_2123
Fb2_3212	Fb2_3312
Fb3_3131	Fb3_3132
Fb3_3223	Fb3_3223
Fb3_2122	Fb3_2222
Fb1_1131	Fb1_1131
Fb3_3112	Fb3_3112
Fb2_2133	Fb2_2132
Fb1_1112	Fb1_1113
Fb3_3231	Fb3_3221
Fb4_1321	Fb4_1322
Fb3_2331	Fb3_3331
