06/12/2023 10:42:10 AM Program started
06/12/2023 10:42:15 AM Default mode enabled
06/12/2023 10:42:23 AM Successfully created directory: C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_figSpd_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_letUp_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_motSpd_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_numMem_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_numNB_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_numSpd_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_objLocMem_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_spatUp_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_spdTab_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_verbSpd_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
06/12/2023 10:42:23 AM Successfully moved finalDraft_wrdRec_sc.csv to C:\Users\efranco\naftaliFiles\CognitiveTests\finalDraft\finalDraft_scores
