09/28/2023 05:44:57 PM Program started
09/28/2023 05:44:58 PM Default mode enabled
09/28/2023 05:44:58 PM Successfully created directory: /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_wrdRec_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_spatUp_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_numNB_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved output.log to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_numSpd_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_letUp_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_verbSpd_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_numMem_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_objLocMem_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_motSpd_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_spdTab_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
09/28/2023 05:44:58 PM Successfully moved mainDev_figSpd_sc.csv to /Users/ethanjfranco/Desktop/GitHub/naftaliFiles/CognitiveTests/mainDev/mainDev_scores
