1001 	1 	1 	1 	PRACT  	BADCADC       	1 	1000 	500 	A 	D 	C 	A 	D 	C 	1 	1 	1 	3 	2023 	4 	5 	14 	30 	55
1001 	1 	1 	1 	PRACT  	DADCACBDACB   	2 	1000 	500 	A 	C 	B 	D 	A 	C 	0 	0 	0 	0 	2023 	4 	5 	14 	31 	28
1001 	1 	1 	1 	PRACT  	ADCABCBAD     	3 	1000 	500 	B 	A 	D 	B 	A 	D 	1 	1 	1 	3 	2023 	4 	5 	14 	32 	12
1001 	1 	1 	1 	PRACT  	DCACBDA       	4 	1000 	500 	B 	D 	A 	B 	D 	A 	1 	1 	1 	3 	2023 	4 	5 	14 	32 	43
1001 	1 	1 	2 	TRIAL1 	CADBADBDACB   	1 	1000 	500 	A 	C 	B 	B 	A 	C 	0 	0 	0 	0 	2023 	4 	5 	14 	33 	22
1001 	1 	1 	2 	TRIAL1 	ACDCBABAC     	2 	1000 	500 	B 	A 	C 	B 	A 	C 	1 	1 	1 	3 	2023 	4 	5 	14 	33 	53
1001 	1 	1 	2 	TRIAL1 	CADCADCDBACDA 	3 	1000 	500 	C 	D 	A 	C 	D 	A 	1 	1 	1 	3 	2023 	4 	5 	14 	34 	17
1001 	1 	1 	2 	TRIAL1 	DCABADC       	4 	1000 	500 	A 	D 	C 	A 	D 	C 	1 	1 	1 	3 	2023 	4 	5 	14 	34 	53
1001 	1 	1 	2 	TRIAL1 	BACDBACDB     	5 	1000 	500 	C 	D 	B 	C 	D 	B 	1 	1 	1 	3 	2023 	4 	5 	14 	35 	17
1001 	1 	1 	2 	TRIAL1 	ACDCBCDCDAB   	6 	1000 	500 	D 	A 	B 	D 	A 	B 	1 	1 	1 	3 	2023 	4 	5 	14 	35 	47
1001 	1 	1 	2 	TRIAL1 	DBACBDCADCBAC 	7 	1000 	500 	B 	A 	C 	B 	A 	C 	1 	1 	1 	3 	2023 	4 	5 	14 	36 	15
1001 	1 	1 	2 	TRIAL1 	CADBADB       	8 	1000 	500 	A 	D 	B 	A 	D 	B 	1 	1 	1 	3 	2023 	4 	5 	14 	36 	48
1001 	1 	1 	3 	TRIAL2 	BADCADCDBDC   	1 	1000 	500 	B 	D 	C 	B 	D 	C 	1 	1 	1 	3 	2023 	4 	5 	14 	37 	10
1001 	1 	1 	3 	TRIAL2 	ADBCDBCDA     	2 	1000 	500 	C 	D 	A 	D 	C 	A 	0 	0 	1 	1 	2023 	4 	5 	14 	37 	39
1001 	1 	1 	3 	TRIAL2 	CABCADCABCBAD 	3 	1000 	500 	B 	A 	D 	B 	C 	D 	1 	0 	1 	2 	2023 	4 	5 	14 	38 	18
1001 	1 	1 	3 	TRIAL2 	DBACDCA       	4 	1000 	500 	D 	C 	A 	B 	C 	A 	0 	1 	1 	2 	2023 	4 	5 	14 	38 	51
1001 	1 	1 	3 	TRIAL2 	BADCBACDA     	5 	1000 	500 	C 	D 	A 	C 	D 	A 	1 	1 	1 	3 	2023 	4 	5 	14 	39 	15
1001 	1 	1 	3 	TRIAL2 	ACDCADACDBC   	6 	1000 	500 	D 	B 	C 	C 	B 	C 	0 	1 	1 	2 	2023 	4 	5 	14 	39 	40
1001 	1 	1 	3 	TRIAL2 	DBADBDCADCADC 	7 	1000 	500 	A 	D 	C 	D 	A 	C 	0 	0 	1 	1 	2023 	4 	5 	14 	40 	 6
1001 	1 	1 	3 	TRIAL2 	CADCACB       	8 	1000 	500 	A 	C 	B 	D 	C 	B 	0 	1 	1 	2 	2023 	4 	5 	14 	40 	39
